celda_id,area_km2,dtot,fuera,ini_dia,fin_dia,lon,df,n50f,dtot_base,anios,frec,dens,frpi,aq,valida,sin_estacion,valida_n50f,valida_base,anio_inicio,anio_fin,base_inicio,base_fin
c0975_m08405,121.317,41,4.9,115,248,134,35,NA,41,11,0.846,0.026,4.1,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0975_m08415,121.318,78,2.6,146,227,82,51,NA,78,12,0.923,0.0495,3.7,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0975_m08425,121.319,44,4.5,155,211,57,28,NA,44,10,0.769,0.0279,2.5,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0975_m08435,121.321,66,1.5,161,230,70,33,NA,66,12,0.923,0.0418,4.1,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0975_m08445,121.323,25,0,NA,NA,NA,23,NA,25,12,0.923,0.0159,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0975_m08455,121.326,6,0,NA,NA,NA,6,NA,6,5,0.385,0.0038,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0975_m08465,113.197,248,0.8,164,222,59,118,0.186,248,13,1,0.1685,4.7,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0975_m08475,10.544,92,0,163,215,53,57,NA,92,13,1,0.6712,3.8,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0975_m08495,45.554,50,0,182,235,54,31,NA,50,11,0.846,0.0844,4.1,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0975_m08505,120.94,216,0,196,228,33,76,0.197,216,13,1,0.1374,4.2,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0975_m08515,121.361,71,0,201,246,46,42,NA,71,12,0.923,0.045,4.4,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0975_m08525,121.369,152,0,204,238,35,53,0.208,152,10,0.769,0.0963,5,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0975_m08535,62.541,37,0,177,266,90,24,NA,37,9,0.692,0.0455,5.7,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0975_m08545,3.62,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0975_m08555,0.016,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0985_m08295,1.085,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0985_m08305,87.474,19,47.4,NA,NA,NA,18,NA,19,12,0.923,0.0167,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0985_m08315,121.311,17,23.5,NA,NA,NA,14,NA,17,7,0.538,0.0108,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0985_m08325,121.305,2,0,NA,NA,NA,1,NA,2,1,0.077,0.0013,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0985_m08335,121.299,1,0,NA,NA,NA,1,NA,1,1,0.077,6e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0985_m08345,121.295,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0985_m08355,121.291,5,0,NA,NA,NA,3,NA,5,2,0.154,0.0032,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0985_m08365,121.287,22,13.6,NA,NA,NA,17,NA,22,9,0.692,0.014,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0985_m08375,121.285,83,16.9,176,280,105,67,NA,83,13,1,0.0526,4.1,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0985_m08385,121.283,49,12.2,131,260,130,37,NA,49,12,0.923,0.0311,3.7,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0985_m08395,121.282,71,0,159,246,88,55,NA,71,13,1,0.045,4.1,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0985_m08405,121.282,81,2.5,143,218,76,65,NA,81,13,1,0.0514,4.6,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0985_m08415,121.282,101,0,137,230,94,81,0.383,101,13,1,0.0641,3.8,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0985_m08425,121.283,92,0,136,224,89,60,NA,92,12,0.923,0.0584,3.7,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0985_m08435,121.285,98,9.2,148,229,82,67,NA,98,13,1,0.0622,3,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0985_m08445,121.287,229,0,161,218,58,111,0.216,229,13,1,0.1452,4.3,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0985_m08455,121.291,461,0.2,163,225,63,144,0.153,461,13,1,0.2924,2.9,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0985_m08465,121.295,578,0.7,161,230,70,214,0.159,578,13,1,0.3666,4.4,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0985_m08475,81.316,620,0,168,225,58,251,0.211,620,13,1,0.5865,4,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0985_m08495,29.345,291,0,196,228,33,73,0.151,291,10,0.769,0.7628,4.7,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0985_m08505,112.239,338,1.2,188,227,40,99,0.162,338,11,0.846,0.2316,4.8,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0985_m08515,121.325,173,3.5,167,248,82,71,0.211,173,12,0.923,0.1097,4.6,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0985_m08525,121.334,212,0.9,188,225,38,58,0.155,212,11,0.846,0.1344,5.1,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0985_m08535,121.343,58,0,167,251,85,38,NA,58,10,0.769,0.0368,5,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0985_m08545,117.725,49,4.1,195,251,57,36,NA,49,12,0.923,0.032,3.9,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0985_m08555,100.73,96,2.1,184,238,55,59,NA,96,13,1,0.0733,4.1,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
