celda_id,area_km2,dtot,fuera,ini_dia,fin_dia,lon,df,n50f,dtot_base,anios,frec,dens,frpi,aq,valida,sin_estacion,valida_n50f,valida_base,anio_inicio,anio_fin,base_inicio,base_fin
c0975_m08465,113.197,107,1.9,108,220,113,87,0.391,99,18,0.9,0.0437,9.1,0.384,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0975_m08475,10.544,18,0,NA,NA,NA,15,NA,16,10,0.5,0.0759,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0975_m08495,45.554,3,0,NA,NA,NA,3,NA,3,3,0.15,0.0033,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0975_m08505,120.94,33,0,196,226,31,23,NA,31,10,0.5,0.0128,16.2,0.516,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0975_m08515,121.361,22,0,NA,NA,NA,16,NA,17,8,0.4,0.007,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0975_m08525,121.369,93,3.2,199,257,59,60,NA,77,15,0.75,0.0317,16.2,0.584,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0975_m08535,62.541,13,0,NA,NA,NA,9,NA,12,6,0.3,0.0096,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0975_m08545,3.62,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0975_m08555,0.016,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0985_m08295,1.085,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0985_m08305,87.474,3,33.3,NA,NA,NA,3,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0985_m08315,121.311,2,0,NA,NA,NA,1,NA,2,1,0.05,8e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0985_m08325,121.305,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0985_m08335,121.299,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0985_m08345,121.295,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0985_m08355,121.291,3,0,NA,NA,NA,2,NA,3,2,0.1,0.0012,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0985_m08365,121.287,7,0,NA,NA,NA,6,NA,7,4,0.2,0.0029,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0985_m08375,121.285,31,9.7,171,260,90,27,NA,24,11,0.55,0.0099,NA,NA,TRUE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0985_m08385,121.283,14,7.1,NA,NA,NA,9,NA,12,7,0.35,0.0049,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0985_m08395,121.282,1,0,NA,NA,NA,1,NA,1,1,0.05,4e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0985_m08405,121.282,5,0,NA,NA,NA,4,NA,3,3,0.15,0.0012,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0985_m08415,121.282,1,0,NA,NA,NA,1,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0985_m08425,121.283,12,0,NA,NA,NA,9,NA,12,6,0.3,0.0049,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0985_m08435,121.285,33,0,148,206,59,23,NA,31,12,0.6,0.0128,12.6,0.613,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0985_m08445,121.287,55,0,153,220,68,40,NA,54,15,0.75,0.0223,13.4,0.593,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0985_m08455,121.291,183,0,163,218,56,87,0.195,169,19,0.95,0.0697,13.2,0.55,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0985_m08465,121.295,189,0.5,155,229,75,112,0.277,169,20,1,0.0697,15.9,0.604,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0985_m08475,81.316,165,0,156,227,72,114,0.289,154,19,0.95,0.0947,12.7,0.604,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0985_m08495,29.345,32,0,207,235,29,21,NA,26,8,0.4,0.0443,NA,NA,TRUE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0985_m08505,112.239,98,3.1,123,233,111,61,NA,90,18,0.9,0.0401,14.9,0.544,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0985_m08515,121.325,39,0,183,240,58,24,NA,27,13,0.65,0.0111,NA,NA,TRUE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0985_m08525,121.334,85,2.4,185,241,57,42,NA,73,15,0.75,0.0301,18.6,0.479,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0985_m08535,121.343,27,3.7,NA,NA,NA,20,NA,21,10,0.5,0.0087,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0985_m08545,117.725,15,0,NA,NA,NA,10,NA,11,7,0.35,0.0047,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0985_m08555,100.73,54,0,205,239,35,36,NA,46,13,0.65,0.0228,17.1,0.391,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0985_m08565,72.774,58,0,165,240,76,38,NA,56,15,0.75,0.0385,23.4,0.446,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0985_m08575,8.844,1,0,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0995_m08305,16.513,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0995_m08315,83.514,1,0,NA,NA,NA,1,NA,1,1,0.05,6e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0995_m08325,121.268,2,100,NA,NA,NA,2,NA,2,2,0.1,8e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0995_m08335,121.263,5,20,NA,NA,NA,4,NA,1,1,0.05,4e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0995_m08345,121.258,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0995_m08355,121.254,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0995_m08365,121.251,3,33.3,NA,NA,NA,3,NA,3,2,0.1,0.0012,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0995_m08375,121.249,1,0,NA,NA,NA,1,NA,1,1,0.05,4e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0995_m08385,121.247,1,0,NA,NA,NA,1,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0995_m08395,121.246,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0995_m08405,121.245,1,0,NA,NA,NA,1,NA,1,1,0.05,4e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0995_m08415,121.246,5,0,NA,NA,NA,5,NA,4,3,0.15,0.0016,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0995_m08425,121.247,13,0,NA,NA,NA,10,NA,12,7,0.35,0.0049,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0995_m08435,121.249,143,0,156,215,60,98,0.286,107,19,0.95,0.0441,15.1,0.411,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0995_m08445,121.251,44,0,153,221,69,37,NA,41,14,0.7,0.0169,12.4,0.659,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0995_m08455,121.254,7,0,NA,NA,NA,6,NA,4,3,0.15,0.0016,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0995_m08465,121.258,34,0,145,230,86,25,NA,34,14,0.7,0.014,10.9,0.5,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0995_m08475,118.608,107,0.9,131,222,92,71,0.324,87,18,0.9,0.0367,17.8,0.586,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0995_m08485,82.633,123,0,128,212,85,88,0.318,94,18,0.9,0.0569,17,0.479,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0995_m08495,32.06,66,6.1,104,229,126,46,NA,64,18,0.9,0.0998,14.1,0.531,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0995_m08505,10.121,6,16.7,NA,NA,NA,5,NA,6,4,0.2,0.0296,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0995_m08515,40.885,12,16.7,NA,NA,NA,10,NA,11,6,0.3,0.0135,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0995_m08525,116.234,195,22.1,83,235,153,152,0.362,189,20,1,0.0813,13.8,0.524,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0995_m08535,121.306,57,3.5,99,240,142,37,NA,52,15,0.75,0.0214,13.9,0.577,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0995_m08545,121.316,10,0,NA,NA,NA,7,NA,10,6,0.3,0.0041,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0995_m08555,121.327,32,0,203,244,42,24,NA,28,12,0.6,0.0115,NA,NA,TRUE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0995_m08565,121.338,47,0,206,241,36,32,NA,45,14,0.7,0.0185,13.9,0.444,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0995_m08575,73.353,37,0,152,229,78,26,NA,35,14,0.7,0.0239,9.4,0.486,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0995_m08585,0.023,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1005_m08315,0.601,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1005_m08325,85.484,1,100,NA,NA,NA,1,NA,1,1,0.05,6e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1005_m08335,121.227,2,50,NA,NA,NA,2,NA,2,2,0.1,8e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1005_m08345,121.222,16,62.5,NA,NA,NA,12,NA,15,7,0.35,0.0062,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1005_m08355,121.218,2,50,NA,NA,NA,2,NA,2,2,0.1,8e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1005_m08365,121.215,8,37.5,NA,NA,NA,6,NA,8,6,0.3,0.0033,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1005_m08375,121.212,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1005_m08385,121.21,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1005_m08395,121.209,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1005_m08405,121.209,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1005_m08415,121.209,1,0,NA,NA,NA,1,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1005_m08425,121.21,11,0,NA,NA,NA,11,NA,11,9,0.45,0.0045,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1005_m08435,121.212,37,0,169,234,66,27,NA,32,14,0.7,0.0132,13.6,0.469,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
