celda_id,area_km2,anio_inicio,anio_fin,dtot_a,dtot_b,ini_dia_a,ini_dia_b,fin_dia_a,fin_dia_b,lon_a,lon_b,dens_a,dens_b,valida_a,valida_b,sin_estacion_a,sin_estacion_b,acuerdo,acuerdo_codigo,dif_ini,dif_fin,dif_lon
c1065_m08435,120.985,2013,2025,14,51,NA,162,NA,250,NA,89,0.0089,0.0324,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1065_m08445,120.988,2013,2025,6,68,NA,54,NA,251,NA,198,0.0038,0.0432,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1065_m08455,120.991,2013,2025,5,54,NA,191,NA,254,NA,64,0.0032,0.0343,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1065_m08465,120.995,2013,2025,9,35,NA,193,NA,249,NA,57,0.0057,0.0223,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1065_m08475,121,2013,2025,6,36,NA,118,NA,250,NA,133,0.0038,0.0229,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1065_m08485,121.005,2013,2025,0,12,NA,NA,NA,NA,NA,NA,0,0.0076,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1065_m08495,121.011,2013,2025,4,21,NA,NA,NA,NA,NA,NA,0.0025,0.0133,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1065_m08505,121.018,2013,2025,1,1,NA,NA,NA,NA,NA,NA,6e-4,6e-4,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1065_m08515,121.026,2013,2025,6,34,NA,164,NA,245,NA,82,0.0038,0.0216,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1065_m08525,121.034,2013,2025,7,81,NA,197,NA,250,NA,54,0.0044,0.0515,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
